route_id,longitude,latitude,altitude,timestamp
6396,531624.2388694212,3953748.782386598,1265.434,1622977828653
6396,531624.1619710409,3953770.3599240896,1282.6346,1622977829659
6396,531621.2512741776,3953812.6589876376,1279.2349,1622977831678
6396,531618.7579543802,3953834.651010795,1263.2738,1622977832700
6396,531616.2691686256,3953855.373768204,1289.7767,1622977833707
6397,531605.7447269887,3953904.41522721,1258.4884,1622977835723
6397,531603.2891406072,3953915.830030574,1258.4884,1622977836227
6397,531588.2062495218,3953985.5869073924,1273.3032,1622977839251
6397,531571.391161493,3954057.453123539,1275.3468,1622977842284
6397,531551.0754144497,3954143.6921420405,1296.9285,1622977846313
6397,531546.518513963,3954163.9844774576,1298.948,1622977847321
6397,531535.6618575014,3954209.6400966295,1289.917,1622977849883
6398,531521.2969654488,3954271.7839562357,1277.1599,1622977852866
6398,531511.4920020958,3954312.7893052064,1298.4534,1622977854872
6398,531502.3845748458,3954351.6816700716,1300.2635,1622977856889
6398,531499.9337439795,3954361.8272399404,1300.2635,1622977857355
6399,531468.406395424,3954497.1056593214,1301.1144,1622977863420
6399,531451.9531511855,3954564.7424728177,1305.4567,1622977866440
6402,531400.4907234515,3954777.3768609692,1307.2925,1622977875650
6402,531391.3707572183,3954820.077166745,1312.5477,1622977878023
6402,531384.70742934,3954850.9395173984,1327.8772,1622977880033
6402,531374.8887365117,3954896.1759407646,1324.7032,1622977883553
6404,534005.5310035149,3954976.5278376713,1364.9938,1622978056071
6404,534010.7797981944,3954957.085529713,1356.7291,1622978058095
6404,534016.7298654242,3954934.6842401703,1374.4559,1622978060110
6404,534024.7804802414,3954904.252182077,1353.4772,1622978065134
6404,534026.5295625514,3954897.912446688,1358.38,1622978067671
6404,534047.9163266148,3954897.994511742,1366.4368,1622978069721
6404,534037.9242047379,3954894.9944894565,1365.3424,1622978072717
6404,534056.5318998627,3954900.1430675285,1366.9343,1622978077796
6404,534094.7804422828,3954910.867409032,1351.745,1622978080338
6404,534111.3216435974,3954915.161967424,1364.7789,1622978082831
6404,534122.6918793858,3954918.590470675,1368.9802,1622978084870
6404,534140.2662655148,3954923.3121543634,1353.5856,1622978088137
6404,534154.8224552155,3954905.5981423575,1363.3729,1622978090142
6404,534162.515585809,3954878.5495994734,1366.8938,1622978098390
6404,534165.6641220758,3954867.138123997,1364.9437,1622978102963
6404,534170.5586012211,3954850.2331225686,1364.889,1622978112882
6404,534173.007477539,3954841.3575329026,1364.8472,1622978115253
6404,534183.1561339004,3954803.741060825,1364.8,1622978118190
6404,534185.2551916828,3954796.1334158434,1364.7711,1622978121205
6404,534194.3446256657,3954764.859320801,1364.9155,1622978129103
6404,534196.7951791321,3954755.5606484627,1364.9017,1622978132130
6404,534202.7393198187,3954734.85184603,1364.8708,1622978136129
6404,534204.1403441279,3954729.3569960888,1364.9246,1622978138184
6404,534206.9375033829,3954719.636566971,1364.9014,1622978141362
6404,534216.3818357758,3954685.8252872135,1364.8937,1622978143411
6404,534221.2765066581,3954668.920316905,1364.9138,1622978145439
6404,534227.5722468987,3954646.5205038246,1364.9059,1622978152155
6404,534232.122001419,3954629.6142092287,1364.8666,1622978155136
6405,528947.8951884413,3954342.978988584,1307.2906,1622976972077
6405,528990.7624696466,3954315.194793952,1308.3192,1622976977078
6406,529036.8318582234,3954363.155015416,1304.7986,1622976995608
6406,529032.1880639667,3954411.7955712806,1306.7037,1622976999582
6406,529029.6888569642,3954437.59609847,1308.0092,1622977001598
6407,529049.2506752083,3954679.246588867,1324.4518,1622977022088
6407,529051.6071655522,3954697.02424155,1327.9694,1622977024606
6407,529052.5852172652,3954714.3742871326,1327.0721,1622977027098
6407,529054.2393132999,3954735.9574848856,1334.4258,1622977029592
6407,529055.5567634833,3954755.001018539,1336.8291,1622977031604
6407,529057.5266905769,3954785.4702220173,1341.5552,1622977034608
6407,529059.8789752956,3954804.5171477497,1342.9746,1622977036611
6407,529063.9338164746,3954830.3391537536,1340.4568,1622977039607
6407,529076.642846289,3954846.8814622574,1343.0948,1622977042606
6407,529070.3367149779,3954876.4773614206,1341.2809,1622977047092
6407,529080.3055109697,3954887.0873831734,1343.8231,1622977049592
6407,529096.1453123944,3954895.6012031436,1342.0693,1622977051599
6407,529125.7829334273,3954904.1603463795,1340.2697,1622977054606
6407,529157.8337288139,3954913.1506152954,1338.7754,1622977057089
6407,529199.1896340911,3954924.7101900624,1339.0262,1622977059601
6407,529247.4387536488,3954937.985060754,1338.6908,1622977062570
6407,529282.246070887,3954947.8310594056,1338.9628,1622977064609
6407,529317.0533120375,3954957.6771952785,1339.1624,1622977066609
6407,529325.6685247117,3954960.244237926,1339.1624,1622977067086
6409,533496.9644376792,3954914.5130771906,1362.5021,1622973024742
6409,533503.6638509046,3954876.036639957,1364.3296,1622973026745
6409,533512.1248329304,3954827.8356563672,1358.8909,1622973029250
6409,533520.5875018535,3954779.2115937388,1357.8411,1622973031750
6410,533529.3984121563,3954729.7426660927,1353.8005,1622973034232
